media,frequencia,trabalhos_entregues,historico_reprovacao,risco
6.1,75,3,0,moderado
4.7,97,3,0,alto
4.0,75,1,0,alto
5.3,50,2,1,alto
1.9,93,0,0,alto
9.9,88,3,0,baixo
8.2,85,4,1,baixo
7.4,98,5,0,baixo
4.7,59,1,0,alto
1.5,95,1,0,alto
9.2,61,3,0,alto
3.4,98,4,0,alto
0.5,59,5,0,alto
3.4,77,0,0,alto
7.9,89,1,1,alto
6.2,53,1,0,alto
7.5,53,1,1,alto
7.9,92,2,1,moderado
2.1,53,5,0,alto
9.2,80,0,0,moderado
4.4,96,4,1,alto
6.4,80,3,1,moderado
0.0,74,3,0,alto
9.9,70,4,1,moderado
2.8,81,0,1,alto
0.6,78,4,0,alto
4.6,75,1,0,alto
1.3,57,3,1,alto
1.5,83,4,0,alto
6.3,86,3,1,moderado
3.9,85,1,0,alto
9.2,53,2,1,alto
3.2,85,2,0,alto
7.3,86,0,0,moderado
4.6,59,4,0,alto
6.6,92,0,0,moderado
6.0,76,2,1,moderado
4.7,73,3,0,alto
9.5,86,0,1,alto
3.4,75,5,1,alto
1.8,77,2,0,alto
6.8,65,0,1,alto
8.5,96,3,1,baixo
0.4,98,3,1,alto
4.5,56,3,0,alto
8.9,86,4,1,baixo
7.5,51,2,1,alto
9.9,68,4,1,moderado
5.3,98,2,0,moderado
6.6,58,3,1,alto
3.0,68,0,0,alto
9.5,60,3,0,alto
3.7,86,1,0,alto
7.4,73,4,1,moderado
4.0,79,4,1,alto
5.6,97,5,0,moderado
7.2,76,5,1,baixo
5.1,86,0,0,moderado
9.1,54,0,0,alto
4.2,60,5,1,alto
6.5,97,2,1,moderado
3.4,92,0,1,alto
4.1,82,1,1,alto
4.4,68,5,0,alto
1.3,59,2,1,alto
0.9,92,0,0,alto
6.7,89,4,1,moderado
6.6,62,1,0,alto
6.6,79,2,0,moderado
0.2,80,0,0,alto
3.3,73,3,1,alto
2.0,96,2,0,alto
7.8,56,5,1,alto
8.6,62,2,1,alto
2.5,54,1,0,alto
6.7,84,0,1,alto
1.3,82,1,0,alto
2.8,99,2,0,alto
1.4,77,0,1,alto
2.8,57,2,0,alto
6.7,72,5,0,moderado
9.1,54,4,0,alto
2.0,83,3,1,alto
5.4,83,5,0,moderado
7.0,92,4,0,baixo
9.5,66,3,1,moderado
6.1,65,5,0,moderado
2.6,53,0,1,alto
6.3,70,4,0,moderado
3.2,73,1,1,alto
9.8,87,4,1,baixo
4.0,87,5,0,alto
6.9,57,2,0,alto
0.2,64,0,1,alto
4.0,75,2,1,alto
8.8,66,2,0,moderado
6.1,51,5,1,alto
4.4,92,5,0,alto
9.4,86,3,1,baixo
8.5,76,5,1,baixo
3.2,65,2,1,alto
5.4,92,2,1,moderado
4.9,51,5,0,alto
6.3,72,4,1,moderado
3.3,90,3,1,alto
2.4,97,2,1,alto
9.1,62,4,1,alto
9.2,82,4,1,baixo
8.4,59,2,1,alto
9.8,55,0,1,alto
7.4,67,0,1,alto
7.6,94,0,0,moderado
7.6,84,2,0,moderado
4.8,74,3,0,alto
4.6,64,4,0,alto
2.4,57,1,0,alto
6.4,63,4,0,alto
2.9,57,3,0,alto
2.6,59,0,1,alto
5.9,84,2,0,moderado
4.1,56,1,1,alto
2.2,52,5,0,alto
8.2,77,5,0,baixo
8.6,64,4,1,alto
1.7,72,3,1,alto
0.1,56,2,1,alto
3.4,60,1,1,alto
8.0,72,4,1,moderado
8.4,84,0,1,alto
1.4,70,1,0,alto
7.7,77,0,1,alto
1.2,76,2,1,alto
3.9,63,1,0,alto
10.0,63,1,0,alto
1.9,71,2,1,alto
1.5,51,5,0,alto
4.2,84,3,1,alto
6.2,80,4,0,moderado
9.3,65,5,0,moderado
9.8,68,5,0,moderado
0.7,66,2,1,alto
1.4,82,5,0,alto
7.9,87,5,1,baixo
2.7,55,5,1,alto
8.8,70,2,0,moderado
6.6,50,1,1,alto
1.1,72,3,0,alto
8.3,62,5,1,alto
1.8,66,5,0,alto
4.2,72,3,0,alto
5.5,66,0,1,alto
5.0,69,2,1,moderado
6.9,88,4,1,moderado
6.5,90,3,1,moderado
9.9,50,2,0,alto
10.0,68,2,0,moderado
5.2,92,0,0,moderado
1.0,76,1,1,alto
7.3,60,4,0,alto
9.8,79,1,0,moderado
3.2,57,5,0,alto
4.6,51,0,0,alto
4.2,81,3,0,alto
0.5,75,2,0,alto
6.7,87,4,0,moderado
3.5,67,5,1,alto
7.9,92,3,0,baixo
8.3,71,3,0,moderado
8.2,86,4,1,baixo
4.2,55,3,0,alto
3.2,54,1,0,alto
7.5,89,2,0,moderado
8.0,91,1,0,moderado
4.9,97,2,1,alto
8.9,66,3,0,moderado
1.4,51,1,0,alto
8.8,98,1,0,moderado
1.0,80,4,0,alto
1.5,62,2,1,alto
5.3,88,1,0,moderado
0.7,95,4,1,alto
0.5,64,4,1,alto
0.0,88,4,1,alto
4.4,89,4,1,alto
7.7,75,5,1,baixo
0.3,81,3,1,alto
6.5,63,1,1,alto
8.2,96,5,0,baixo
1.7,99,1,0,alto
1.5,99,1,0,alto
8.6,86,4,1,baixo
8.2,52,5,1,alto
5.4,68,2,0,moderado
8.2,72,4,0,moderado
0.9,97,5,0,alto
3.9,77,4,1,alto
7.4,76,0,1,alto
2.6,57,3,1,alto
7.5,89,1,0,moderado
5.0,66,5,0,moderado
7.5,54,0,0,alto
4.6,99,5,1,alto
3.7,59,1,1,alto
2.2,50,2,1,alto
2.1,53,1,0,alto
7.5,72,4,0,moderado
1.2,55,2,1,alto
0.9,92,4,0,alto
1.8,75,0,1,alto
1.8,66,2,0,alto
8.2,50,5,0,alto
4.0,73,5,1,alto
9.9,57,1,0,alto
1.4,98,2,0,alto
6.5,64,2,1,alto
4.5,73,3,0,alto
3.9,50,3,0,alto
8.8,56,0,1,alto
9.8,60,4,0,alto
8.7,52,1,0,alto
1.9,86,1,0,alto
2.2,97,5,0,alto
6.6,99,4,0,moderado
2.9,63,2,1,alto
7.3,89,5,0,baixo
5.7,75,2,0,moderado
5.5,52,3,0,alto
8.3,54,1,0,alto
7.1,77,1,1,alto
0.3,71,2,0,alto
0.5,50,3,0,alto
6.0,96,4,0,moderado
4.9,86,2,0,alto
2.6,75,5,0,alto
4.2,99,3,1,alto
7.6,98,0,1,alto
8.3,98,4,0,baixo
5.6,62,3,1,alto
3.9,94,2,0,alto
2.7,75,2,0,alto
5.2,86,1,1,alto
3.1,92,3,1,alto
5.6,58,3,0,alto
6.8,72,2,1,moderado
0.7,56,1,0,alto
0.0,63,2,1,alto
2.1,70,2,1,alto
8.9,92,2,1,moderado
6.5,93,1,1,alto
1.7,69,3,1,alto
8.9,66,1,1,alto
4.7,76,3,1,alto
4.8,95,0,0,alto
9.4,98,2,0,moderado
0.6,61,4,0,alto
2.2,59,4,1,alto
5.9,85,4,0,moderado
2.0,65,4,0,alto
6.8,59,0,1,alto
2.1,51,2,0,alto
1.0,70,3,1,alto
2.1,69,4,1,alto
4.2,78,3,0,alto
1.8,60,5,0,alto
1.3,85,1,0,alto
8.6,84,0,0,moderado
3.2,73,0,0,alto
3.6,59,3,0,alto
0.6,75,3,0,alto
3.6,83,1,0,alto
2.6,68,4,1,alto
6.1,63,4,1,alto
2.1,75,2,0,alto
8.9,67,1,1,alto
9.3,70,4,0,moderado
1.0,67,4,0,alto
1.1,65,1,0,alto
1.2,85,1,0,alto
6.2,73,2,0,moderado
1.2,73,3,0,alto
8.5,82,0,0,moderado
7.5,68,5,0,moderado
8.2,55,2,1,alto
5.3,92,2,1,moderado
10.0,52,0,1,alto
0.4,78,5,1,alto
4.0,63,1,1,alto
3.2,60,5,0,alto
9.5,52,2,0,alto
5.8,95,5,0,moderado
8.1,71,1,0,moderado
1.7,67,0,1,alto
9.8,87,4,0,baixo
5.0,51,4,1,alto
4.9,78,3,1,alto
9.7,74,0,0,moderado
3.8,77,5,1,alto
4.0,56,2,0,alto
5.8,97,5,0,moderado
1.3,61,5,0,alto
3.2,83,5,0,alto
1.9,87,4,1,alto
1.0,67,4,0,alto
8.7,56,3,0,alto
5.9,64,0,0,alto
3.6,90,2,0,alto
4.1,95,4,1,alto
4.3,96,4,1,alto
6.3,61,3,0,alto
9.3,80,4,1,baixo
9.3,57,0,0,alto
3.9,85,2,0,alto
3.3,70,3,1,alto
4.5,85,5,0,alto
5.7,84,1,0,moderado
4.6,99,1,0,alto
6.6,74,2,0,moderado
5.5,67,1,1,alto
3.2,76,3,0,alto
3.5,58,3,0,alto
3.8,55,4,0,alto
0.9,75,5,1,alto
1.7,91,0,1,alto
7.2,76,1,1,alto
3.9,89,1,1,alto
2.1,58,1,1,alto
5.6,72,4,1,moderado
7.6,80,0,1,alto
2.6,67,0,0,alto
8.3,50,5,0,alto
9.3,53,5,0,alto
6.0,96,1,0,moderado
6.7,80,1,0,moderado
0.5,63,3,1,alto
9.5,62,3,1,alto
3.9,51,5,0,alto
9.2,97,2,0,moderado
5.8,55,0,0,alto
0.0,87,2,1,alto
0.4,62,3,0,alto
6.8,66,3,0,moderado
5.6,63,3,0,alto
0.3,91,5,1,alto
7.4,51,4,0,alto
8.5,67,1,1,alto
5.0,63,2,1,alto
4.7,63,4,0,alto
0.1,59,2,1,alto
7.9,95,2,1,moderado
3.3,68,1,1,alto
8.8,70,1,0,moderado
3.7,69,4,1,alto
5.7,99,5,1,moderado
2.7,66,4,0,alto
1.6,67,1,0,alto
7.7,66,0,1,alto
5.0,66,0,1,alto
5.4,54,2,1,alto
9.7,80,3,1,baixo
9.6,51,5,0,alto
8.6,61,5,0,alto
1.9,60,0,1,alto
5.9,64,4,0,alto
8.8,87,1,0,moderado
3.7,79,1,1,alto
1.0,99,3,0,alto
8.1,67,0,0,moderado
4.8,96,2,0,alto
5.6,52,3,0,alto
9.8,75,1,0,moderado
6.1,89,3,0,moderado
4.2,76,2,0,alto
3.7,96,4,0,alto
4.2,65,1,1,alto
1.2,51,0,1,alto
7.9,88,3,1,baixo
8.4,53,1,1,alto
2.8,88,4,0,alto
3.0,86,0,1,alto
8.7,92,3,1,baixo
0.2,73,5,0,alto
5.2,94,0,0,moderado
4.6,58,1,1,alto
6.9,71,5,1,moderado
1.6,56,3,0,alto
6.7,88,1,0,moderado
3.8,85,1,0,alto
6.2,90,4,0,moderado
0.4,88,5,1,alto
4.6,65,2,1,alto
5.2,53,2,0,alto
2.1,96,4,1,alto
1.4,74,1,1,alto
1.9,54,1,1,alto
3.4,96,4,0,alto
1.0,99,1,1,alto
9.5,72,4,1,moderado
4.0,88,2,1,alto
8.1,51,5,0,alto
9.7,54,0,0,alto
0.8,63,5,1,alto
6.5,82,1,0,moderado
8.7,56,0,1,alto
6.3,51,4,0,alto
4.3,83,3,1,alto
4.3,88,5,0,alto
0.4,86,0,0,alto
5.3,89,0,0,moderado
9.9,90,3,0,baixo
9.6,80,5,0,baixo
0.4,75,2,0,alto
7.1,92,4,0,baixo
3.0,67,5,1,alto
9.0,54,5,1,alto
0.5,87,3,1,alto
9.4,63,4,0,alto
8.4,98,3,1,baixo
1.2,70,4,1,alto
0.6,92,3,0,alto
8.3,52,3,1,alto
1.6,82,2,1,alto
5.3,72,3,0,moderado
9.2,73,4,0,moderado
5.7,63,5,0,alto
4.0,98,3,0,alto
4.5,69,0,1,alto
0.6,92,3,1,alto
9.7,71,1,1,alto
3.1,52,0,0,alto
1.9,93,0,0,alto
2.9,59,3,1,alto
9.6,63,5,0,alto
0.9,93,3,1,alto
8.7,94,2,1,moderado
7.1,95,0,0,moderado
8.3,71,4,1,moderado
9.8,87,0,0,moderado
8.4,66,5,0,moderado
9.4,87,4,0,baixo
1.3,75,5,0,alto
8.0,52,1,0,alto
5.5,70,0,1,alto
5.4,73,1,1,alto
9.0,62,4,0,alto
9.7,68,1,1,alto
7.0,75,5,1,baixo
4.8,52,0,0,alto
4.6,57,0,0,alto
3.9,88,1,0,alto
3.6,67,4,1,alto
3.9,80,3,1,alto
0.9,78,2,0,alto
0.8,77,3,1,alto
7.8,70,3,0,moderado
4.5,74,3,1,alto
9.3,91,3,1,baixo
6.1,98,0,1,alto
0.4,62,1,0,alto
1.6,83,3,0,alto
2.1,98,0,1,alto
9.8,50,2,0,alto
2.2,89,0,0,alto
5.2,74,4,0,moderado
9.4,98,0,1,alto
9.8,78,0,0,moderado
2.4,91,3,1,alto
0.5,58,1,1,alto
1.5,57,2,1,alto
0.6,96,1,1,alto
2.0,76,1,0,alto
5.7,77,4,1,moderado
9.1,58,4,1,alto
5.4,61,1,1,alto
6.3,90,4,1,moderado
2.0,65,4,1,alto
8.0,79,3,1,baixo
6.2,65,3,1,moderado
8.6,63,5,0,alto
9.5,58,2,0,alto
3.5,96,2,0,alto
0.9,97,3,1,alto
2.3,55,5,0,alto
4.4,67,4,0,alto
9.5,78,0,1,alto
3.8,69,2,0,alto
7.7,86,4,1,baixo
5.4,63,1,1,alto
1.8,52,5,0,alto
3.2,66,4,0,alto
6.5,79,5,1,moderado
6.7,59,0,1,alto
4.3,90,3,1,alto
2.3,50,3,1,alto
7.2,53,3,0,alto
1.7,75,5,1,alto
9.4,75,2,0,moderado
1.9,64,3,0,alto
1.1,62,4,1,alto
5.0,53,4,0,alto
5.2,83,4,1,moderado
5.1,68,2,1,moderado
4.4,55,5,0,alto
9.9,69,0,1,alto
4.9,96,2,1,alto
4.8,63,3,0,alto
4.2,94,0,1,alto
0.7,62,2,0,alto
5.9,59,3,1,alto
2.3,63,3,0,alto
6.4,66,0,1,alto
0.5,56,1,1,alto
9.8,79,1,1,alto
4.7,66,3,0,alto
9.0,85,1,1,alto
4.8,74,3,0,alto
0.6,72,4,0,alto
8.2,73,4,1,moderado
6.5,57,1,1,alto
7.8,85,5,1,baixo
4.3,55,0,0,alto
6.4,86,0,1,alto
8.6,99,0,1,alto
6.3,88,1,1,alto
3.5,72,5,0,alto
6.6,65,1,1,alto
6.7,93,4,1,moderado
9.6,62,2,1,alto
3.7,74,0,0,alto
4.3,88,2,0,alto
8.1,96,0,0,moderado
5.1,96,2,1,moderado
7.4,54,3,0,alto
4.6,94,3,0,alto
2.2,55,1,1,alto
7.5,79,4,0,baixo
1.3,96,3,1,alto
2.0,82,1,1,alto
6.3,97,2,0,moderado
7.5,67,0,0,moderado
8.9,65,5,1,moderado
2.7,66,4,0,alto
1.1,67,1,1,alto
9.6,84,4,0,baixo
1.5,72,4,0,alto
2.0,86,3,0,alto
2.9,70,0,1,alto
5.3,65,5,0,moderado
8.8,59,5,0,alto
7.6,77,5,0,baixo
7.1,94,5,0,baixo
1.8,92,5,0,alto
3.6,62,4,1,alto
4.8,73,0,1,alto
1.5,85,2,0,alto
2.7,80,1,1,alto
3.1,53,1,1,alto
1.3,79,4,1,alto
5.5,51,4,1,alto
7.1,55,3,0,alto
0.7,82,4,1,alto
4.8,55,0,1,alto
7.8,66,1,1,alto
7.5,79,5,0,baixo
8.2,82,2,1,moderado
4.5,72,3,1,alto
8.2,54,2,1,alto
2.4,89,1,0,alto
3.6,97,4,0,alto
1.8,94,4,1,alto
4.7,87,4,0,alto
3.9,70,2,0,alto
2.4,93,3,1,alto
7.5,74,5,1,moderado
3.1,56,3,0,alto
2.7,92,2,0,alto
1.3,66,1,0,alto
4.4,96,3,0,alto
3.0,68,2,0,alto
3.7,93,3,1,alto
2.4,76,0,1,alto
7.6,73,1,0,moderado
9.3,64,4,0,alto
5.0,91,2,1,alto
6.4,53,2,0,alto
8.7,73,3,0,moderado
10.0,68,2,0,moderado
6.1,77,4,1,moderado
8.9,62,1,0,alto
9.1,83,4,0,baixo
7.9,69,1,1,alto
4.6,59,2,0,alto
0.8,59,3,0,alto
0.2,84,5,0,alto
4.8,63,1,1,alto
4.9,65,3,1,alto
4.1,81,0,1,alto
5.7,66,0,0,moderado
5.5,69,4,0,moderado
8.4,62,4,1,alto
1.1,67,2,1,alto
